participant,response,valid_categories,category,irt
51,cat,"Felines,Pets",Pets,8
51,dog,"Canines,Pets",Pets,3
51,mouse,"Pets,Rodent Like",Pets,3
51,rat,"Pets,Rodent Like",Pets,3
51,giraffe,Non-Jungle Animals,Non-Jungle Animals,6
51,lion,"Non-Jungle Animals,Felines",Non-Jungle Animals,2
51,zebra,Non-Jungle Animals,Non-Jungle Animals,3
51,rhino,Non-Jungle Animals,Non-Jungle Animals,4
51,ostrich,"Non-Jungle Animals,Birds",Non-Jungle Animals,6
51,meerkat,Non-Jungle Animals,Non-Jungle Animals,6
51,tiger,"Non-Jungle Animals,Felines",Non-Jungle Animals,3
51,bear,North American,North American,1
51,bat,Rodent Like,Rodent Like,10
51,aardvark,Non-Jungle Animals,Non-Jungle Animals,6
51,elephant,Non-Jungle Animals,Non-Jungle Animals,7
51,flea,Insects,Insects,7
51,ferret,"Farm Animals,Pets,Rodent Like",Pets,7
51,parrot,"Birds,Pets",Pets,3
51,hippopotamus,Non-Jungle Animals,Non-Jungle Animals,6
51,alligator,"Jungle Animals,Reptiles/Amphibians",Jungle Animals,4
51,crocodile,"Jungle Animals,Reptiles/Amphibians",Jungle Animals,5
51,frog,"Pets,Reptiles/Amphibians",Pets,3
51,whale,Fish,Fish,4
51,shark,Fish,Fish,6
51,clownfish,Fish,Fish,11
51,guppy,Fish,Fish,7
51,goldfish,"Fish,Pets",Fish,3
51,snake,"Jungle Animals,Farm Animals,Pets,Reptiles/Amphibians",Pets,5
51,snail,"Pets,Reptiles/Amphibians",Pets,4
51,deer,North American,North American,8
51,elk,North American,North American,4
51,buffalo,"Non-Jungle Animals,North American",North American,5
51,monkey,"Jungle Animals,Primates",Jungle Animals,3
51,hyena,"Non-Jungle Animals,Canines",Non-Jungle Animals,7
51,kangaroo,Australian Animals,Australian Animals,9
71,cheetah,"Non-Jungle Animals,Felines",Felines,3
71,panther,"Jungle Animals,Felines,North American",Felines,12
71,snake,"Jungle Animals,Farm Animals,Pets,Reptiles/Amphibians",Jungle Animals,3
71,shark,Fish,Fish,2
71,elephant,Non-Jungle Animals,Non-Jungle Animals,3
71,gazelle,Non-Jungle Animals,Non-Jungle Animals,3
71,deer,North American,North American,2
71,monkey,"Jungle Animals,Primates",Primates,6
71,orangutan,"Jungle Animals,Primates",Primates,8
71,mouse,"Pets,Rodent Like",Rodent Like,4
